id;project_id;client_id;name;stage;interest_level;expected_value;expected_close_date;is_closed;won;closed_at;assigned_to;notes;created_at;updated_at;is_deal;deal_id;is_locked;converted_to_deal_at;in_pipeline;opportunity_code
51b22a20-f51f-49c2-b0e0-f52a5c9869d6;2b1ed894-4534-407c-b6ee-f36794ef5d29;f0255b9b-85dc-4620-920c-0afeb6aff25b;Opportunity 01;RFP;Medium;;;false;;;;Material Category: بلوك;2026-01-29 16:11:58.252725+00;2026-01-29 16:11:58.252725+00;false;;false;;true;SAL-0086-001-001
610c05ea-122d-4ad3-828a-43cbd2793095;180ceb66-8a2d-4e4b-b70c-93ccaafcc30f;c810beeb-522c-497e-9064-d18c92de5f43;Opportunity 01;RFP;High;;;false;;;;Material Category: بلوك;2026-01-30 13:26:21.919207+00;2026-01-30 13:26:21.919207+00;false;;false;;true;SAL-0093-001-001
55301e6c-4173-400d-9aac-ffedee39388c;047e6d0f-c891-40d7-b455-5e1d4fe72d1f;b1ab4935-369c-4502-b2d4-bd946379be3b;Opportunity 01;RFP;Not interested;;;false;;;;"Material Category: بلوك
Objection: Price too high";2026-01-30 13:38:07.503892+00;2026-01-30 13:38:07.503892+00;false;;false;;false;SAL-0161-001-001
bee30c85-7147-4b64-be60-2b907af78c9d;24827b53-e102-4a7a-9346-eb72bffcfe42;9664ac41-9fd5-4d57-8d04-e7233ee878d8;Opportunity 01;RFP;High;;;false;;;;Material Category: بلوك;2026-01-17 15:15:00.851458+00;2026-01-28 19:13:15.356668+00;false;;false;;true;SAL-0014-001-001
edea6a2d-a6bf-48e9-91e4-ad1c17713219;2bd3b925-a88c-4895-8160-cbb0beb58650;87b0c9d2-2653-494c-adbe-3ae8e06a38af;Opportunity 01;Discovery;Medium;;;false;;;;Material Category: بلوك;2026-01-19 17:45:36.911466+00;2026-01-28 19:13:15.356668+00;false;;false;;true;SAL-0053-001-001
a261e85a-a20a-4a0a-b0c5-86392babb38d;2d8e4005-99ef-4478-99dd-9a89178f95cb;628121f3-07c8-4ed7-b290-1933045720be;Opportunity 01;Discovery;Medium;;;false;;;;Material Category: بلوك;2026-01-18 17:03:12.681973+00;2026-01-28 19:13:15.356668+00;false;;false;;true;SAL-0034-001-001
106f82c2-4063-4a6d-8bc4-ae1ed91110ad;2df00232-8acd-401a-ad27-8611997bd695;023e5d67-c639-4685-af52-fdf23fe47a4c;Opportunity 01;Discovery;High;;;false;;;;Material Category: بلوك;2026-01-18 17:36:19.980136+00;2026-01-28 19:13:15.356668+00;false;;false;;true;SAL-0039-001-001
2715d53a-9601-45f5-8a1e-e38c5030de6c;3484988f-e44f-4d55-8c41-c405849b18d7;4390ab4a-a91f-4763-8ca1-97888275d91e;Opportunity 01;RFP;High;;;false;;;;Material Category: بوك ;2026-01-28 19:05:01.862834+00;2026-01-28 19:13:15.356668+00;false;;false;;true;SAL-0170-001-001
f490dc82-b908-40d7-8e12-df263fa2d7b2;36544908-d4b5-466b-9abd-b4d9348f3964;b0a17b50-8169-4ec2-a60f-e8a7a18aed45;Opportunity 01;Discovery;Medium;;;false;;;;Material Category: بلوك;2026-01-19 16:21:03.136098+00;2026-01-28 19:13:15.356668+00;false;;false;;true;SAL-0046-001-001
0ad3e80a-7239-48c2-b212-8294a90009ca;39dc1791-6971-4420-b23d-3f5cb177ca5e;0d8a3b7b-5444-41c6-b7ba-c3c6c555b872;Opportunity 01;Discovery;Low;;;false;;;;Material Category: بلوك;2026-01-28 18:47:17.89083+00;2026-01-28 19:13:15.356668+00;false;;false;;true;SAL-0165-001-001
8f43073d-c977-4248-8684-a0832e9a0298;505492d0-fdf9-487d-9621-d649fde49103;f2891238-9543-4902-9d04-fbc4020fe97b;Opportunity 01;RFP;Medium;;;false;;;;Material Category: بلوك;2026-01-17 15:09:41.189872+00;2026-01-28 19:13:15.356668+00;false;;false;;true;SAL-0013-001-001
a48939c4-fccf-4dd8-849d-4f2bfbf79e70;514844a9-9c09-4919-a917-5912b32e99c1;eff7c402-7699-4854-8f45-8dd1602e78a9;Opportunity 01;Discovery;Low;;;false;;;;Material Category: بلوك;2026-01-28 18:36:20.158973+00;2026-01-28 19:13:15.356668+00;false;;false;;true;SAL-0163-001-001
6494779e-661e-44c1-b9aa-1af015d7f804;59b4fd21-ff41-497e-b619-9025bbdbe66c;9fb9257b-a0eb-4642-ab73-06244d4f7d64;Opportunity 01;Discovery;Medium;;;false;;;;Material Category: بلوك;2026-01-19 17:54:27.671916+00;2026-01-28 19:13:15.356668+00;false;;false;;true;SAL-0055-001-001
e6c6e3ad-30a7-41db-8e95-2e77b2144502;5af63300-63c2-43d3-91f2-864cc5f9855e;425ea935-204f-432a-bb0b-b70c1b725c92;Opportunity 01;RFP;Medium;;;false;;;;Material Category: بلوك اسمنتي وبخاري وبركاني;2026-01-17 11:03:47.629552+00;2026-01-28 19:13:15.356668+00;false;;false;;true;SAL-0009-001-001
dc0a4053-6aca-48d6-9fb1-67987030aed5;5f2b2883-882c-48a3-a7ba-8d50141cdd60;c9f1a73e-fb12-4a36-b889-eebefe79cdf5;Opportunity 01;RFP;Medium;;;false;;;;Material Category: بلوك;2026-01-17 15:19:36.420055+00;2026-01-28 19:13:15.356668+00;false;;false;;true;SAL-0015-001-001
