id;client_id;name;project_type;project_size;current_phase;city;district;location;status;notes;created_at;updated_at;project_code
2b1ed894-4534-407c-b6ee-f36794ef5d29;f0255b9b-85dc-4620-920c-0afeb6aff25b;مشروع عمارة;Residential;Small (100-1,000 m²);Finishing Works;Riyadh;العارض;https://maps.app.goo.gl/Ebb3SbuXEd81pMHH6;Active;;2026-01-29 16:10:05.549179+00;2026-01-29 16:11:24.423165+00;SAL-0086-001
2df00232-8acd-401a-ad27-8611997bd695;023e5d67-c639-4685-af52-fdf23fe47a4c;فيلا النرجس;Residential;Small (100-1,000 m²);Site Preparation & Fencing;Riyadh;النرجس;https://maps.app.goo.gl/G8PV4zQamW1sNue76;Active;;2026-01-18 17:34:32.41152+00;2026-01-28 19:13:15.356668+00;SAL-0039-001
04853cf2-42f3-40fa-b86c-62ece5209047;057c6a00-f8dc-4134-ba66-85403f3d992b;مشروع إداري النرجس;Commercial;Medium (1,000-10,000 m²);Masonry & MEP Works;Riyadh;النرجس;https://maps.app.goo.gl/WWQXEZWPaqqsnyeL9;Active;;2026-01-19 16:16:58.301011+00;2026-01-28 19:13:15.356668+00;SAL-0045-001
ed60d6d0-9259-4788-941c-3e3f9b67f32b;08884c00-cc6d-4b86-8296-be850253c6fb;فيلل النرجس;Residential;Small (100-1,000 m²);Site Preparation & Fencing;Riyadh;النرجس;https://maps.app.goo.gl/V69jHnYhuUMNdK537;Active;;2026-01-19 16:35:23.940021+00;2026-01-28 19:13:15.356668+00;SAL-0050-001
ed28fd36-8fe8-43e8-99dd-8ece460c3a10;089f4062-68af-4f7a-998e-5b85e5a6eb13;فيلل النرجس;Residential;Medium (1,000-10,000 m²);Skeleton Works / Superstructure;Riyadh;النرجس;https://maps.app.goo.gl/5EwrhQMaJYTK9FXQ9;Active;;2026-01-18 14:32:41.89951+00;2026-01-28 19:13:15.356668+00;SAL-0028-001
a335d97b-f4e4-4a0d-8ef7-a82504991ef6;0da94034-d5c2-44d1-9817-c0924875d8de;فيلا النرجس;Residential;Small (100-1,000 m²);Site Preparation & Fencing;Riyadh;النرجس;https://maps.app.goo.gl/vFwdGLJEkbdYL9TQ7;Active;;2026-01-18 14:19:41.84406+00;2026-01-28 19:13:15.356668+00;SAL-0025-001
771eeec0-704c-426e-95a1-f290d7813c1b;13ddabff-eeb8-403d-ba8b-2a4a92f4c892;مستشفى حي النرجس;Commercial;Medium (1,000-10,000 m²);Site Preparation & Fencing;Riyadh;النرجس;https://maps.app.goo.gl/pLYJxuqB5FraghH37;Active;;2026-01-18 14:51:02.015958+00;2026-01-28 19:13:15.356668+00;SAL-0032-001
98e9e304-9976-491e-a28b-f5953489d759;238dcfbf-60e6-4891-a4f7-8b9b9724d770;فيلل النرجس;Residential;Small (100-1,000 m²);Foundation Works / Substructure;Riyadh;النرجس;https://maps.app.goo.gl/bmURWh9yiE41mLfWA;Active;;2026-01-28 18:54:22.696766+00;2026-01-28 19:13:15.356668+00;SAL-0167-001
cb8b252e-6427-4285-b3a3-e6489960c236;25953707-781e-4571-8c98-a6780ea81f15;فيلل النرجس;Residential;Small (100-1,000 m²);Site Preparation & Fencing;Riyadh;النرجس;https://maps.app.goo.gl/1Hc8BhodtQWMoBXP6;Active;;2026-01-22 17:54:12.907252+00;2026-01-28 19:13:15.356668+00;SAL-0075-001
2f8e223f-5642-4543-9b83-4dc3645345db;2bf3c67c-06e3-474a-b311-e56db624e066;فيلا النرجس;Residential;Small (100-1,000 m²);Finishing Works;Riyadh;النرجس;https://maps.app.goo.gl/uLmM1ASuuZgTZNMC8;Active;;2026-01-22 17:46:31.875707+00;2026-01-28 19:13:15.356668+00;SAL-0073-001
7684e2e5-893a-4bc7-8b88-5e7f92461344;2f9d2700-2654-4b04-901c-09bbd915be2c;فيلا النرجس;Residential;Small (100-1,000 m²);Foundation Works / Substructure;Riyadh;النرجس;https://maps.app.goo.gl/BizNcFe265Kn7sAdA;Active;;2026-01-22 17:21:48.330233+00;2026-01-28 19:13:15.356668+00;SAL-0070-001
6c2a04b7-bd31-4dfb-8f77-e0c9b2e188dd;30fa78c8-40c9-487f-9b61-67f914ec5537;عماره النرجس;Residential;Small (100-1,000 m²);Finishing Works;Riyadh;النرجس;https://maps.app.goo.gl/1QUK6SXdC7tBDMYb7;Active;;2026-01-18 17:07:31.404732+00;2026-01-28 19:13:15.356668+00;SAL-0035-001
77ef1abc-c40f-4d9c-8607-95d2d21fb18d;33eea4ab-1512-44ea-bf1e-ec39a6f98dc2;فيلا النرجس;Residential;Small (100-1,000 m²);Masonry & MEP Works;Riyadh;النرجس;https://maps.app.goo.gl/NdSJ4WX3haT5n9em8;Active;;2026-01-22 17:44:04.57506+00;2026-01-28 19:13:15.356668+00;SAL-0072-001
eb01b88f-cab1-4416-8ba2-b4c225e15f41;4557b3c7-b7f1-476e-b157-cf9127a12fe7;فيلل النرجس;Residential;Medium (1,000-10,000 m²);Site Preparation & Fencing;Riyadh;النرجس;https://maps.app.goo.gl/w8MzKViAw5v1Q16n6;Active;;2026-01-18 14:40:02.641828+00;2026-01-28 19:13:15.356668+00;SAL-0030-001
245a6f22-7358-46f7-a369-88db0163219b;4994a069-0b5a-4a39-b46a-b41aedb40818;مكاتب النرجس;Commercial;Small (100-1,000 m²);Skeleton Works / Superstructure;Riyadh;النرجس;https://maps.app.goo.gl/cQTuQTUHEoSbkEkz6;Active;;2026-01-18 14:44:10.169345+00;2026-01-28 19:13:15.356668+00;SAL-0031-001
780ada99-985f-4d16-9bc2-cae2738b7385;4a15869b-69b0-40e0-8761-d0f752c9db76;فيلل النرجس;Residential;Small (100-1,000 m²);Skeleton Works / Superstructure;Riyadh;النرجس;https://maps.app.goo.gl/3YyVgByB8X6KTidv8;Active;;2026-01-22 17:07:41.330556+00;2026-01-28 19:13:15.356668+00;SAL-0067-001
8409d3e4-aabb-4d3f-bfcd-ad4201795105;5ca159bb-2d55-4dae-a1a8-666a4017a376;فيلا النرجس;Residential;Small (100-1,000 m²);Masonry & MEP Works;Riyadh;النرجس;https://maps.app.goo.gl/3YyVgByB8X6KTidv8;Active;;2026-01-22 17:11:47.905842+00;2026-01-28 19:13:15.356668+00;SAL-0068-001
a4c58dd0-e592-49ce-abcb-8d640029ef1d;5caf2d04-8197-4184-81e5-50ca58ddf496;فيلل النرجس;Residential;Small (100-1,000 m²);Finishing Works;Riyadh;النرجس;https://maps.app.goo.gl/2evM9LbQQECqgzU17;Active;;2026-01-22 15:48:11.936454+00;2026-01-28 19:13:15.356668+00;SAL-0057-001
2d8e4005-99ef-4478-99dd-9a89178f95cb;628121f3-07c8-4ed7-b290-1933045720be;فيلا النرجس;Residential;Small (100-1,000 m²);Skeleton Works / Superstructure;Riyadh;النرجس;https://maps.app.goo.gl/yMYUoWJAG33WUrHJA;Active;;2026-01-18 17:02:49.063729+00;2026-01-28 19:13:15.356668+00;SAL-0034-001
e15eb8e1-71e3-403a-8231-ad4f4c354622;660e9cb1-e51a-4aa5-b65e-bf22d5c447e2;فيلا النرجس;Residential;Small (100-1,000 m²);Foundation Works / Substructure;Riyadh;النرجس;https://maps.app.goo.gl/kx8umWgH7dpU1mjv5;Active;;2026-01-19 17:38:42.477291+00;2026-01-28 19:13:15.356668+00;SAL-0051-001
03ae07ea-4e59-4c6d-8cb2-8ae93c59c241;699c631d-2f94-4442-8ef1-eb0ed10d152c;فيلل النرجس;Residential;Small (100-1,000 m²);Masonry & MEP Works;Riyadh;النرجس;https://maps.app.goo.gl/SjYty9AT1GcUY4AB7;Active;;2026-01-22 17:50:21.667428+00;2026-01-28 19:13:15.356668+00;SAL-0074-001
